id,answer
143,Tsar
144,424
145,one
146,September
147,25
148,Dobruja
149,Burgoyne
150,Raglan
151,4
152,four 110
153,Mahmud II
154,John Burgoyne
155,Omar Pasha
156,George Hamilton Seymour
157,Russian
158,Russian
159,Campbell
160,Russians
161,David Price
162,Lord Raglan
163,Alfonso La Marmora
164,Petersburg
165,Alfred Lord Tennyson
166,Omar Pasha
167,1855
168,Alfred Lord Tennyson
169,The Charge
170,Ottomans
171,November
172,14
173,March
174,British HQ
175,October
176,Mamelon
177,In March
178,Russian
179,Omar Pasha
180,Admiral Nakhimov
181,Western Allied Baltic Fleet
182,Deschenes
183,Mahmud II
184,Russians
185,Russian
186,Mahmud II
187,Muravyev
188,Omar
189,Anglo
190,British
191,Kerch Strait
192,May
193,May
194,July
195,David Price
196,August
197,September
198,August
199,Mahmud II
200,20000 troops
201,Sevastopol
202,30000 Turks
203,13
204,Eristov
205,John Burgoyne
206,Kars
207,Gordon
208,Nicholas I
209,Battle
210,Hungarian Revolution
211,Orbeliani
212,Armenian
213,Erzerum
214,Nicholas
215,192
216,8000
217,Russians
218,September
219,Treaty
220,Russian
221,Russian
222,1854
223,August
224,1855
225,Åland Islands
226,Viktor Poplonsky
227,Rossiya
228,Treaty
229,Cronstadt
230,Russian
231,Cronstadt
232,Swede
233,David Price
234,Allied
235,British
236,Alfonso La Marmora
237,15-COMMA-000 soldiers
238,Alfonso La Marmora
239,16
240,Piedmont
241,John Burgoyne
242,Russo
243,Greek
244,1854
245,Omar Pasha
246,Rostov
247,Ottomans
248,Field
249,Benjamin Disraeli
250,Foreign Secretary Lord
251,Russia
252,30
253,Otto von Bismarck
254,Menshikov
255,Don
256,30
257,Franco
258,Treaty
259,German
260,Otto von Bismarck
261,John Burgoyne
262,German
263,Russo
264,Having
265,Continent
266,Continent
267,Kinglake
268,French
269,Winfried Baumgart
270,British
271,Ottoman Empire
272,Alexander II
273,Alexander II
274,Charles Napier
275,Roger Fenton
276,The Times
277,Roger Fenton
278,William Howard Russell
279,French
280,Nicholas
281,1857
282,Charge
283,The Times
284,Cronstadt
285,Crimean War
286,Ottoman Empire
287,Preface
288,Isthmus
289,nine
290,First
291,227
292,Pindus
293,Georgios Kondylis
294,Georgios Papanikolaou
295,Hellenized East
296,20-COMMA-000
297,3200
298,Andreas Papandreou
299,Western
300,2001
301,European
302,Latin
303,Greeks
304,Latin
305,Greeks
306,Horace
307,270-COMMA-000
308,BC
309,Paleolithic
310,Paleolithic
311,Franchthi Cave
312,Athens
313,Cycladic
314,Cycladic
315,Mycenaeans
316,Minoans
317,2004
318,Iliad
319,776
320,Iliad
321,one
322,Nero
323,Marathon
324,Artemisium
325,Greek
326,Greek
327,Peloponnesian War
328,Mediterranean
329,Greco
330,Phillip II
331,Phillip II
332,Nazis
333,500
334,Battle
335,146
336,168
337,BC
338,Romans
339,Roman Emperor
340,Aeneid
341,Scipio Africanus
342,Aoos National Park
343,Greek
344,776
345,Theodosius I
346,Γενικό Λύκειο
347,490
348,Greek
349,Greek
350,European Championship
351,Frankish Principality
352,Greek
353,Classical
354,1204 mainland
355,1261
356,Ibrahim
357,Byzantine
358,Byzantine Empire
359,Greek War
360,Morea
361,1571
362,Iannis Xenakis
363,Ottoman
364,1797
365,Irene Papas
366,Minoans
367,Ottomans
368,Ottoman
369,Greeks
370,Ottoman
371,1571
372,Greek
373,1571
374,Greek
375,Macedon
376,Slavic
377,United Nations World Tourism Organization
378,Rigas Feraios
379,1798
380,Filiki Eteria
381,Filiki Eteria
382,Filiki Eteria
383,1600 –
384,1571
385,1821
386,Theodoros Kolokotronis
387,Greek Men ' s Water Polo League
388,Ottoman
389,1999
390,Mehmet Ali
391,1825
392,1825
393,Egypt
394,Great Powers
395,Greek
396,Ottoman
397,1922
398,ESA
399,International Financial Control
400,International Financial Control
401,Framework Law
402,Central
403,1877
404,P
405,1881
406,World War I
407,one
408,1877
409,one
410,Greek
411,Greek
412,ESA
413,Greek
414,Nazis
415,1.5 million propertyless
416,Greek
417,Macedonian
418,Georgios Kondylis
419,Second Hellenic Republic
420,Georgios Kondylis
421,1936
422,1924
423,100-COMMA-000 civilians
424,Eastern Roman
425,Greek Jews
426,100-COMMA-000 civilians
427,Andreas Papandreou
428,Panhellenic Socialist Movement
429,1980
430,Greek
431,2001
432,Mycenaean Greece
433,Mediterranean Basin
434,Ottoman
435,Greek
436,Peloponnese
437,Pindus
438,Greece
439,The Argo
440,Aoos National Park
441,The Argo
442,Aegean Sea
443,Aegean Sea
444,Aegean Sea
445,Aegean Sea
446,Γενικό Λύκειο
447,Pindus
448,Central
449,Republic
450,Northwestern
451,Central
452,Isthmus
453,Circumboreal Region
454,six ecoregions
455,World Wide Fund
456,Dodecanese
457,Circumboreal Region
458,Γενικό Λύκειο
459,Greek
460,Phillip II
461,Greeks
462,120 articles
463,2010
464,Eleftherios Venizelos
465,Phillip II
466,Graecia
467,300
468,Eurostat
469,Ibrahim
470,Plato
471,PASOK
472,Andreas Papandreou
473,June
474,New Democracy
475,Eleftherios Venizelos
476,Eleftherios Venizelos
477,Ministry for Foreign Affairs
478,Hellenized East
479,New Testament
480,Greek
481,Fifth Revisionary Parliament
482,National Guard
483,Greek
484,1
485,1
486,Kallikratis
487,Holy Mountain
488,Central Macedonia
489,Framework Law
490,GDP
491,GDP
492,16th
493,United Nations World Tourism Organization
494,Eurozone
495,Republic
496,Republic
497,Republic
498,Greek
499,Eurozone
500,Organisation for Economic Co
501,2001
502,2001
503,Economic
504,Greek
505,Eurostat
506,In
507,In
508,Aegean Sea
509,4th worldwide
510,Albania
511,Germany
512,2007
513,Latin
514,Roman Emperor
515,2007
516,Edessa
517,Ministry for Health and Social Solidarity
518,Proastiakos
519,August
520,August
521,European Union
522,European Space Agency
523,1994
524,2003
525,European Space Agency
526,2003
527,Standard Model
528,Georgios Papanikolaou
529,Pap
530,Pap
531,Pap
532,Roman
533,Greek Muslim
534,Muslim
535,Vallahades
536,50-COMMA-000
537,50-COMMA-000
538,120 churches
539,120 churches
540,28-COMMA-874
541,19th
542,19th
543,Greek
544,Greek
545,Byzantine Greek
546,Greek
547,Greco
548,Cappadocian
549,Doric Greek
550,Vallahades
551,July
552,St Paul
553,Arvanites
554,Greek
555,1923
556,Ladino
557,Caucasus Greeks
558,48-COMMA-560
559,EU
560,Greece
561,Muslim
562,EU
563,Afghanistan
564,Ottoman navy
565,1990s
566,GDP
567,European
568,University of Constantinople
569,1453
570,two school
571,Γενικό Λύκειο
572,Γενικό Λύκειο
573,IEK
574,University
575,Ministries
576,State Non
577,Hellenic Open University
578,Capodistrian University of Athens
579,World Health Organization
580,Athens
581,Save
582,138 hospitals
583,2010
584,Venetian Republic
585,Independence
586,Eastern Roman
587,National Guard
588,Pindus
589,Western
590,1870 –
591,Athenian
592,Athenian
593,Parliamentary Candidate
594,Nobile Teatro
595,Zeus
596,Greek
597,Turkish War
598,Greeks
599,Greek
600,BC With
601,Sappho
602,one
603,1896
604,1870 –
605,Asty Films Company
606,Γκόλφω
607,Daphnis
608,Western
609,1950s
610,Nikos Koundouros
611,Giorgos Tzavellas
612,Giorgos Tzavellas
613,Η
614,Anthony Quinn
615,Prize
616,Cacoyannis
617,Circumboreal Region
618,Crete
619,Greek
620,Syrians
621,Greeks
622,European Champions
623,Greek
624,Ottoman
625,Athenian
626,University of Constantinople
627,West
628,Byzantine
629,Latin
630,Byzantine
631,Byzantine
632,Byzantine
633,Greeks
634,Heptanesean
635,Pindus
636,Greek
637,Treaty
638,Apostolos Kaldaras
639,Ionian
640,1815
641,Manolis Kalomiris
642,Iannis Xenakis
643,Zorba
644,Demis Roussos
645,Maria Callas
646,1974
647,1974
648,Olympic Indoor Hall
649,Maria Menounos
650,Athens
651,Greeks
652,776
653,Olympia
654,Maria Menounos
655,Summer Olympic
656,European Champions
657,Champions League
658,12th
659,2002
660,Phillip II
661,European Champions
662,European Champion
663,25 years
664,Vikos Gorge
665,European
666,2005
667,European
668,European
669,European
670,Elena Paparizou
671,one
672,European Volleyball Championship
673,Final Fours
674,Plato
675,Mytikas
676,Ministry
677,Greeks
678,Greek
679,Hera
680,15
681,four
682,four
683,Dormition
684,Peloponnese
685,Greek
686,2013
687,April
688,six years
689,The Great
690,The Great
691,492
692,330
693,Nazi
694,Vorbis
695,Vorbis
696,ITU
697,HapMap
698,Often
699,MAF
700,Vorbis
701,DWT
702,LPC
703,ITU
704,ITU
705,JPEG
706,Lempel
707,JPEG
708,LZR
709,LZX
710,DV
711,JPEG
712,HapMap
713,JPEG
714,LPC
715,JPEG
716,MDCT
717,JPEG
718,MDCT
719,MPEG
720,CD
721,CD
722,
723,LPC
724,HapMap
725,I
726,Data
727,LPC
728,Lempel
729,FLAC
730,HapMap
731,Vorbis
732,LZ
733,Vorbis
734,DVDs
735,MPEG
736,HapMap
737,JPEG
738,MP3
739,8 bits
740,LPC
741,Vorbis
742,LPC
743,Often
744,MP3
745,Often
746,MP3
747,MP3
748,LPC
749,LPC
750,MP3
751,
752,Selected Areas
753,IEEE Journal
754,MPEG
755,Oscar Bonello
756,Oscar Bonello
757,IBM
758,MPEG
759,I
760,279
761,DWT
762,Data
763,HapMap
764,DWT
765,JPEG
766,Data
767,HapMap
768,one
769,one doesn
770,MPEG
771,LPC
772,MPEG
773,ITU
774,ISO
775,DWT
776,Lempel
777,MAFE
778,GenomeZip
779,Old Avestan
780,Iranian
781,Iranic
782,three stages
783,Middle Persian
784,875
785,Middle Iranian
786,Sanskrit
787,1836
788,Pahlavi
789,Robert Needham Cust
790,1878
791,Asia
792,Bactrian
793,Andronovo
794,2000
795,European
796,Indo
797,Old Iranian
798,875
799,Iranian
800,three languages
801,Islamic Conquest
802,Middle Iranian
803,Zoroastrianism
804,Old Persian
805,Old Avestan
806,Old Iranian
807,Scythian
808,Western
809,Indo
810,Indo
811,Slavic
812,Iranian
813,Iranic
814,Avestan
815,Scythian
816,Iranian
817,Middle Iranian
818,Middle Iranian
819,two languages
820,Western
821,Scythian
822,Middle Iranian
823,Dari
824,Achaemenid Imperial Aramaic
825,Iranian
826,one
827,Sogdian
828,Syriac
829,Old Persian
830,Sogdian
831,Saffarid
832,875
833,Dialects
834,Bactrian
835,1920s
836,Latinised
837,1920s
838,Bactrian
839,Iranian
840,Bactrian
841,Scythians
842,Samarkand
843,Zarafshan
844,Empire
845,West African
846,Societé de Telecommunications du Mali
847,African
848,U
849,Scramble
850,1960
851,March
852,three
853,West African
854,April
855,January
856,April
857,January
858,December
859,Moroccan
860,West African
861,March
862,Judar Pasha
863,European
864,November
865,Keïta
866,March
867,Sub
868,1968
869,1991
870,March
871,President
872,International Monetary Fund
873,International Monetary Fund
874,March Revolution
875,March
876,March
877,300 lives
878,Tuaregs
879,Moussa Traoré
880,three associates
881,Liberation Day
882,three associates
883,Malian
884,Amadou Toumani Touré
885,March
886,Muslims
887,Inner Niger Delta
888,International Crops Research Institute for the Semi
889,National Movement for the Liberation of Azawad
890,December
891,January
892,Touré
893,MNLA
894,République
895,Köppen
896,Inner Niger Delta
897,Inner Niger Delta
898,BSh
899,22
900,AIDS
901,five
902,five
903,Supreme Court
904,Traoré
905,National Assembly
906,2007 elections
907,28
908,Ansar Dine
909,Supreme Court
910,Constitutional Court
911,Supreme Court
912,Supreme Court
913,March
914,1988
915,World Bank
916,Malians
917,12
918,12
919,Malians
920,March
921,Alliance
922,Supreme Court
923,53.06 years
924,800-COMMA-000 people
925,Malians
926,Arabic
927,Tuareg
928,Tuareg
929,Tuaregs
930,Islamists
931,Tuaregs
932,Malians
933,Islamists
934,Tuareg
935,Keepers
936,Malians
937,International Monetary Fund
938,International Monetary Fund
939,
940,Sub
941,International Crops Research Institute for the Semi
942,Aga Khan Foundation
943,International Crops Research Institute for the Semi
944,Societé de Telecommunications du Mali
945,Mali
946,Malians
947,Sub
948,HIV
949,Keepers
950,Malian
951,July
952,Tuareg
953,Malian
954,Census Bureau
955,2015
956,Alaskan
957,U
958,Alaska Highway
959,Lower
960,Alaska Marine Highway
961,500 miles
962,Iditarod Trail Sled Dog Race
963,Tongass National Forest
964,Alaska Marine Highway
965,Inside Passage
966,Alaska Purchase
967,National Petroleum Reserve
968,Lower
969,Energy Information Administration
970,Iditarod Trail Sled Dog Race
971,The
972,Southeast
973,Unimak Island
974,Beaufort Seas
975,Quaker
976,United States Bureau of Land Management
977,87 million acres
978,United States Bureau of Land Management
979,Arctic National Wildlife Refuge
980,41 million hectares
981,Alaska Native Claims Settlement Act
982,Cessna Caravan
983,Native
984,Native
985,ANCSA
986,Ted Stevens Anchorage International Airport
987,Fairbanks Summer Arts Festival
988,Köppen
989,Ted Stevens Anchorage International Airport
990,Troopers
991,Gulf
992,Gulf
993,Ted Stevens Anchorage International Airport
994,Congress
995,Russian Orthodox
996,1887
997,Southeast
998,Athabaskan
999,Census
1000,Native Alaskans
1001,Russian
1002,DNA
1003,Alaska
1004,Resource Rebate
1005,Yukon Territory
1006,1912
1007,one time
1008,Yukon Territory
1009,Yukon Territory
1010,North Slope
1011,1946
1012,Yukon Territory
1013,U
1014,July
1015,Good Friday
1016,Good Friday
1017,March
1018,March
1019,March
1020,20
1021,Eskimo
1022,20
1023,2014
1024,Association of Religion Data Archives
1025,Association of Religion Data Archives
1026,Pacific Northwest
1027,Inupiat
1028,First Russian Orthodox Church
1029,Alaskan Natives
1030,The Church of Jesus Christ of Latter
1031,Permanent Fund Dividend
1032,L
1033,L
1034,Trans
1035,Permanent Fund
1036,Fairbanks North Star
1037,ANCSA
1038,Alaska Marine Highway
1039,Ted Stevens Anchorage International Airport
1040,ANS
1041,ANS
1042,North Slope
1043,2014
1044,Energy Information Administration
1045,Alaska Pipeline System
1046,Alaskan North Slope
1047,Alaskan
1048,ANS
1049,Department of Revenue Tax Division
1050,United States Bureau of Land Management
1051,Jews
1052,Essential Air Service
1053,Alaska Constitution
1054,Alaska Pipeline System
1055,1976
1056,United States Census Bureau
1057,Keith Miller
1058,National Petroleum Reserve
1059,Census Bureau
1060,Alaska Constitution
1061,Alaska
1062,Permanent Fund Dividend
1063,Permanent Fund Dividend
1064,Alaskans
1065,Alaskans
1066,one
1067,Permanent Fund Dividend
1068,North Slope
1069,Canadian
1070,Pacific Northwest
1071,Outside
1072,Outside
1073,Lower
1074,L
1075,Alaska Native Claims Settlement Act
1076,January
1077,U
1078,1915
1079,ARR
1080,Alaska Railroad
1081,Alaska Railroad
1082,one
1083,1976
1084,Alaska Marine Highway
1085,Inter
1086,Inter
1087,Alaska Airlines
1088,Alaska Marine Highway
1089,2 million visitors
1090,Essential Air Service
1091,Boeing
1092,Alaska Airlines
1093,Alaska Airlines
1094,Cessna Caravan
1095,Ravn Alaska
1096,Inupiat
1097,Lake Hood
1098,U
1099,Ted Stevens Anchorage International Airport
1100,Interior Alaska
1101,Serum Run
1102,Serum Run
1103,Fairbanks
1104,Fairbanks
1105,GCI
1106,350 million
1107,January
1108,Alaska Communications
1109,Department
1110,1969
1111,seven states
1112,Parks Highway
1113,Alaska Bush
1114,one election
1115,Democratic
1116,Democrat
1117,Alaska Bush
1118,Fairbanks
1119,2015
1120,34
1121,State Recorder
1122,State Recorder
1123,United States Census Bureau
1124,355
1125,United States Census Bureau
1126,United States Census Bureau
1127,Phoenix Marketing International
1128,United States Census Bureau
1129,United States Census Bureau
1130,1941
1131,Public Safety Officers
1132,Arctic National Wildlife Refuge
1133,GCI
1134,Anchorage Symphony Orchestra
1135,GCI
1136,Folk Festival
1137,MGM
1138,Northwest Alaska
1139,The
1140,Hotel Roosevelt
1141,American
1142,Queensland
1143,Articles
1144,UN
1145,International Covenant
1146,Waitangi
1147,International Covenant
1148,Brazilian
1149,Union
1150,President
1151,Native Americans
1152,Treaty
1153,Indian Appropriations Act
1154,Banu Qaynuqa
1155,UN
1156,Parliament of India
1157,UN
1158,European
1159,UN
1160,Brazilian
1161,Treaty
1162,United Nations
1163,Brazilian
1164,Banu Qaynuqa
1165,The Law
1166,Single Convention
1167,Supreme Court
1168,Swiss
1169,Swiss
1170,UN
1171,Charter
1172,Law
1173,Articles
1174,United Nations
1175,DONE
1176,DONE
1177,DONE
1178,European
1179,DONE
1180,DONE
1181,United States
1182,Banu Qaynuqa
1183,Federal Supreme Court
1184,European
1185,two states
1186,European Economic Area
1187,European Economic Area
1188,Swiss
1189,Swiss
1190,UN
1191,Swiss
1192,Treaties
1193,Treaties
1194,Treaty
1195,Indian Appropriations Act
1196,Supreme Court
1197,84
1198,Basic Relations
1199,Europeans
1200,Single Convention
1201,President
1202,The Law
1203,Treaties
1204,Legal Affairs
1205,53
1206,Supreme Court
1207,Swiss
1208,Swiss
1209,U
1210,three ways
1211,Congress
1212,Congress
1213,Secretary
1214,President
1215,The Law
1216,Senate
1217,UNFCCC
1218,10
1219,President
1220,United Nations Framework Convention on Climate Change
1221,UNFCCC
1222,Protocol
1223,UNFCCC
1224,Protocol
1225,Invasion
1226,Senators
1227,President
1228,European
1229,Senators
1230,Supreme Court
1231,Union
1232,Senators
1233,Islamic Prophet
1234,Parliament
1235,two
1236,UN
1237,Convention
1238,two
1239,Charter
1240,Swiss
1241,General
1242,Senators
1243,Brazilian
1244,624
1245,Union
1246,Parliament of India
1247,Federal Supreme Court
1248,Federal Supreme Court
1249,one party
1250,Union
1251,UN
1252,UN
1253,Indian Appropriations Act
1254,Supreme Court
1255,Swiss
1256,Treaty
1257,Secretary
1258,Treaty
1259,Swiss
1260,Qing Dynasty
1261,Muslim
1262,Waitangi
1263,UNFCCC
1264,Brazilian
1265,Europeans
1266,Treaty
1267,Single Convention
1268,Secretary
1269,International Covenant
1270,Secretary
1271,Secretary
1272,International Covenant
1273,Secretary
1274,Congress
1275,Treaties
1276,Secretary
1277,two parties
1278,one party
1279,Secretary
1280,Single Convention
1281,2008
1282,European Economic Area
1283,Single Convention
1284,United Nations
1285,Single Convention
1286,Single Convention
1287,Medina
1288,State
1289,UN
1290,European
1291,For
1292,Treaties
1293,Basic Relations
1294,Supreme Court
1295,UNFCCC
1296,DONE
1297,one party
1298,Secretary
1299,Single Convention
1300,United Nations Framework Convention on Climate Change
1301,Swiss
1302,Muslim
1303,United Nations
1304,Invasion
1305,Islamic Prophet
1306,Medina
1307,Islamic Prophet
1308,Islamic Prophet
1309,Invasion
1310,Waqidi
1311,900 members
1312,Males
1313,624
1314,40
1315,Basic Relations
1316,Republic
1317,Basic Relations
1318,Federal Supreme Court
1319,European
1320,Law
1321,State
1322,State
1323,European
1324,Parliament of India
1325,Medina
1326,Federal Supreme Court
1327,Banu Qurayza
1328,Males
1329,Reid
1330,Males
1331,President
1332,President
1333,UN
1334,Law
1335,Law
1336,Treaties
1337,Supreme Court
1338,Convention
1339,State
1340,Brazilian
1341,Brazilian
1342,Senators
1343,Treaties
1344,Senate
1345,Narcotic Drugs
1346,European
1347,Federal Supreme Court
1348,State
1349,Supreme Court
1350,Congress
1351,American
1352,Republic
1353,UN
1354,UN
1355,UN
1356,UN
1357,UN
1358,United Nations
1359,Legal Affairs
1360,45th amendment
1361,Office
1362,Office
1363,UN
1364,UN
1365,UN
1366,UN
1367,UN
1368,VIII
1369,Congress
1370,Federal Supreme Court
1371,United States
1372,Congress
1373,Portuguese
1374,2008
1375,Supreme Court
1376,Federal Supreme Court
1377,Federal Supreme Court
1378,U
1379,Brazilian
1380,Brazilian
1381,U
1382,President
1383,Congress
1384,President
1385,Senators
1386,Congress
1387,President
1388,Congress
1389,State
1390,Congress
1391,Indian Appropriations Act
1392,Head Money Cases
1393,Head Money Cases
1394,Covert
1395,Head Money Cases
1396,Supreme Court
1397,Union List
1398,Parliament of India
1399,Union
1400,Union
1401,Union
1402,Europeans
1403,European
1404,Australians
1405,Māori
1406,European
1407,Qing Dynasty
1408,European Economic Area
1409,Swiss
1410,Qing Dynasty
1411,European Economic Area
1412,European
1413,Māori
1414,Māori
1415,Māori
1416,UN
1417,Native Americans
1418,Native Americans
1419,1871
1420,March
1421,Native Americans
1422,San Francisco
1423,Summertime Blues
1424,Easy Rider
1425,Born
1426,Easy Rider
1427,Canadian
1428,Canadian
1429,Irish
1430,Irish
1431,Hot Country Singles
1432,Billboard
1433,one
1434,The Final Countdown
1435,Eruption
1436,Sammy Hagar
1437,I Don
1438,Ballbreaker
1439,Eruption
1440,Puddle
1441,one multi
1442,Billboard
1443,Deep Purple
1444,Stone Temple Pilots
1445,Guns N
1446,Queen
1447,Link Wray
1448,1958
1449,Let
1450,Cotton Crop Blues
1451,Main St
1452,Led Zeppelin II
1453,Smoke
1454,Uriah Heep
1455,Keith Moon
1456,Bon Scott
1457,Bon Scott
1458,Rainbow
1459,Rainbow
1460,Anthrax
1461,1991
1462,The Black Crowes
1463,Top
1464,Hysteria
1465,Top
1466,70s glam
1467,Deep Purple
1468,Australians Airbourne
1469,Canadian
1470,Vains
1471,Louie Louie
1472,Louie Louie
1473,The
1474,The Kinks
1475,1964 )-COMMA-
1476,1970 )-COMMA-
1477,Bad Company
1478,1973
1479,Dog
1480,Eruption
1481,New Wave
1482,Eruption
1483,American
1484,Metal Health
1485,1983
1486,Nevermind
1487,Whitesnake
1488,Stone Temple Pilots
1489,Stone Temple Pilots
1490,Alive
1491,two
1492,Stone Age
1493,The Datsuns
1494,Them Crooked Vultures
1495,Top
1496,Amboy Dukes
1497,Cotton Crop Blues
1498,Cotton Crop Blues
1499,American
1500,Billboard
1501,Eric Clapton
1502,Dave Davies
1503,Van Halen
1504,1986
1505,The Kinks
1506,Alice Cooper
1507,New York Dolls
1508,Ronnie Montrose
1509,1986
1510,Black Sabbath
1511,The Who
1512,Extreme
1513,1983 )-COMMA-
1514,Still Loving You
1515,What About Love
1516,Balance
1517,Izzy Stradlin
1518,Rage Against
1519,Scott Weiland
1520,1996
1521,The Reaper
1522,Nirvana
1523,Anthrax
1524,New Wave
1525,New Wave
1526,1969
1527,In Rock
1528,Paranoid
1529,Gothic
1530,Deep Purple
1531,Zeppelin
1532,Ramones
1533,Judas Priest
1534,Extreme
1535,Eruption
1536,17 million copies
1537,Permanent Vacation
1538,1987
1539,Appetite
1540,Appetite
1541,Velvet Revolver
1542,Crush
1543,Aerosmith
1544,Scott Weiland
1545,Chinese Democracy
1546,The Citadel
1547,U
1548,United States Coast Guard
1549,Charlestonians
1550,Cooper Rivers
1551,U
1552,The
1553,King Street
1554,1670
1555,King Charles II
1556,King Charles II
1557,North Charleston
1558,December
1559,1670
1560,Chah
1561,King Charles II
1562,548-COMMA-404
1563,Ashley River
1564,Republican Party
1565,Mount Pleasant
1566,United States Census Bureau
1567,United States Census Bureau
1568,Mount Pleasant
1569,September
1570,September
1571,September
1572,December
1573,September
1574,September
1575,September
1576,Moncks Corner
1577,F
1578,September
1579,February
1580,Hurricane Hugo
1581,December
1582,548-COMMA-404
1583,Summerville Metropolitan Statistical Area
1584,2000 population
1585,Counties
1586,U
1587,Reconstruction Era
1588,Reconstruction Era
1589,St
1590,Reconstruction Era
1591,Reconstruction Era
1592,1670
1593,English
1594,English
1595,John Locke
1596,eight
1597,England
1598,Trident Regional Medical Center
1599,William Sayle
1600,Porgy
1601,Drive
1602,Catholics
1603,1830
1604,Native Americans
1605,Roman Catholic Church
1606,General Sir
1607,General Sir
1608,European
1609,Democrat
1610,Governor
1611,Chah
1612,Africans
1613,Today
1614,Festival
1615,Charleston Fashion Week
1616,Today
1617,Great Migration
1618,1750
1619,African
1620,1700
1621,African
1622,December
1623,1770
1624,West Ashley
1625,Great Migration
1626,1708
1627,Charleston Fashion Week
1628,Cherokee
1629,350 pounds
1630,Revolutionary
1631,Jenkins Orphanage Band
1632,The Citadel
1633,1770
1634,1748
1635,1670
1636,America
1637,June
1638,Melinda Meeks Hennessy
1639,28-COMMA-1776
1640,Rag
1641,British
1642,Siege
1643,1780
1644,28-COMMA-1776
1645,Benjamin Lincoln
1646,5-COMMA-400
1647,Revolutionary
1648,1786
1649,1793
1650,Medical University of South Carolina Medical Center
1651,Eliza Lucas
1652,18 %
1653,Republican Party
1654,Republican Party
1655,1790
1656,1790
1657,May
1658,1822
1659,May
1660,five slaves
1661,Haitian Revolution
1662,Sephardic Jews
1663,1880
1664,African
1665,1860
1666,North
1667,American Missionary Association
1668,American Missionary Association
1669,John Boehner
1670,Gaud School
1671,Gaud School
1672,North
1673,U
1674,General
1675,1876 election
1676,1876 election
1677,Red Shirts
1678,Piedmont
1679,September
1680,October
1681,Gian Carlo Menotti
1682,August
1683,August
1684,31-COMMA-1886
1685,August
1686,August
1687,Republican Party
1688,1895
1689,1889
1690,1708
1691,1896
1692,June
1693,nine people
1694,United States Post Office
1695,House
1696,July
1697,June
1698,Historic Charleston Foundation
1699,17
1700,Festival
1701,Pulitzer Prize
1702,Footlight Players
1703,Marion Square
1704,1931
1705,Festival
1706,British
1707,19th
1708,English
1709,Sylvester Primer of the College of Charleston
1710,Ellis Island
1711,Sylvester Primer of the College of Charleston
1712,17
1713,Houses
1714,Cooper River Bridge Run
1715,100 performances
1716,Gian Carlo Menotti
1717,Ballin
1718,Jack
1719,Johnson
1720,Republican Party
1721,Rag
1722,1891
1723,Avery Institute Graduates
1724,Rev
1725,Avery Institute Graduates
1726,Colored Waif
1727,Jenkins Orphanage Band
1728,Porgy
1729,Folly Beach
1730,Charleston
1731,1934
1732,19 companies
1733,300
1734,Thomas Carr
1735,Thomas Carr
1736,19 companies
1737,City
1738,452
1739,452
1740,Greg Mullen
1741,12-COMMA-2005
1742,MUSC
1743,North Charleston
1744,North Charleston
1745,Parish
1746,Roper Hospital
1747,Festival
1748,Interstate 95
1749,Island
1750,North Charleston
1751,Island
1752,King Street
1753,Meeting Street
